Date,Time,I_DC,V_DC,LineSpeed,Power_Out,V_Out
04/09/2023,17:36:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:58,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:36:59,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:00,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:01,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:02,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:03,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:04,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:37:05,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:20,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:21,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:22,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:23,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:24,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:25,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:26,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:45:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:27,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:28,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:29,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:30,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:31,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:32,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:33,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:34,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:35,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:36,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:37,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:38,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:39,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:40,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:41,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:42,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:43,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:44,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:45,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:46,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:47,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:48,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:49,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:50,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:51,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:52,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:53,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:54,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:55,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:56,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:57,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:58,0.00,0.00,0.00,0.00,0.00
04/09/2023,17:47:59,0.00,0.00,0.00,0.00,0.00
